City,Year,Data_Type,Mode,Avg_Commute_Time,Source1,Source2
Brisbane,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Burlingame,2018,Residence,Drive Alone,27.02,B08013_ACS18_5YR,B08301_ACS18_5YR
Calistoga,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Campbell,2018,Residence,Drive Alone,26.25,B08013_ACS18_5YR,B08301_ACS18_5YR
Clayton,2018,Residence,Drive Alone,35.73,B08013_ACS18_5YR,B08301_ACS18_5YR
Cloverdale,2018,Residence,Drive Alone,26.21,B08013_ACS18_5YR,B08301_ACS18_5YR
Colma,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Concord,2018,Residence,Drive Alone,31.52,B08013_ACS18_5YR,B08301_ACS18_5YR
Corte Madera,2018,Residence,Drive Alone,28.45,B08013_ACS18_5YR,B08301_ACS18_5YR
Cotati,2018,Residence,Drive Alone,27.11,B08013_ACS18_5YR,B08301_ACS18_5YR
Cupertino,2018,Residence,Drive Alone,27.08,B08013_ACS18_5YR,B08301_ACS18_5YR
Daly City,2018,Residence,Drive Alone,26.99,B08013_ACS18_5YR,B08301_ACS18_5YR
Danville,2018,Residence,Drive Alone,30.51,B08013_ACS18_5YR,B08301_ACS18_5YR
Dixon,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Dublin,2018,Residence,Drive Alone,32.64,B08013_ACS18_5YR,B08301_ACS18_5YR
East Palo Alto,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
El Cerrito,2018,Residence,Drive Alone,28.13,B08013_ACS18_5YR,B08301_ACS18_5YR
Emeryville,2018,Residence,Drive Alone,29.86,B08013_ACS18_5YR,B08301_ACS18_5YR
Fairfax,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Fairfield,2018,Residence,Drive Alone,30.2,B08013_ACS18_5YR,B08301_ACS18_5YR
Foster City,2018,Residence,Drive Alone,29.46,B08013_ACS18_5YR,B08301_ACS18_5YR
Fremont,2018,Residence,Drive Alone,31.5,B08013_ACS18_5YR,B08301_ACS18_5YR
Gilroy,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Half Moon Bay,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Hayward,2018,Residence,Drive Alone,31.2,B08013_ACS18_5YR,B08301_ACS18_5YR
Healdsburg,2018,Residence,Drive Alone,24.03,B08013_ACS18_5YR,B08301_ACS18_5YR
Hercules,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Hillsborough,2018,Residence,Drive Alone,29.09,B08013_ACS18_5YR,B08301_ACS18_5YR
Lafayette,2018,Residence,Drive Alone,28.12,B08013_ACS18_5YR,B08301_ACS18_5YR
Larkspur,2018,Residence,Drive Alone,26.65,B08013_ACS18_5YR,B08301_ACS18_5YR
Livermore,2018,Residence,Drive Alone,29.83,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Altos,2018,Residence,Drive Alone,22.98,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Altos Hills,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Gatos,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Martinez,2018,Residence,Drive Alone,28.9,B08013_ACS18_5YR,B08301_ACS18_5YR
Menlo Park,2018,Residence,Drive Alone,24.12,B08013_ACS18_5YR,B08301_ACS18_5YR
Mill Valley,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Millbrae,2018,Residence,Drive Alone,26.17,B08013_ACS18_5YR,B08301_ACS18_5YR
Milpitas,2018,Residence,Drive Alone,27.59,B08013_ACS18_5YR,B08301_ACS18_5YR
Monte Sereno,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Moraga,2018,Residence,Drive Alone,31.34,B08013_ACS18_5YR,B08301_ACS18_5YR
Morgan Hill,2018,Residence,Drive Alone,34.15,B08013_ACS18_5YR,B08301_ACS18_5YR
Mountain View,2018,Residence,Drive Alone,21.15,B08013_ACS18_5YR,B08301_ACS18_5YR
Napa,2018,Residence,Drive Alone,21.67,B08013_ACS18_5YR,B08301_ACS18_5YR
Newark,2018,Residence,Drive Alone,28.97,B08013_ACS18_5YR,B08301_ACS18_5YR
Novato,2018,Residence,Drive Alone,30.55,B08013_ACS18_5YR,B08301_ACS18_5YR
Oakland,2018,Residence,Drive Alone,28,B08013_ACS18_5YR,B08301_ACS18_5YR
Oakley,2018,Residence,Drive Alone,39.73,B08013_ACS18_5YR,B08301_ACS18_5YR
Orinda,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Pacifica,2018,Residence,Drive Alone,29.83,B08013_ACS18_5YR,B08301_ACS18_5YR
Palo Alto,2018,Residence,Drive Alone,23.59,B08013_ACS18_5YR,B08301_ACS18_5YR
Petaluma,2018,Residence,Drive Alone,28.29,B08013_ACS18_5YR,B08301_ACS18_5YR
Piedmont,2018,Residence,Drive Alone,26.33,B08013_ACS18_5YR,B08301_ACS18_5YR
Pinole,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Pittsburg,2018,Residence,Drive Alone,37.2,B08013_ACS18_5YR,B08301_ACS18_5YR
Pleasant Hill,2018,Residence,Drive Alone,28.8,B08013_ACS18_5YR,B08301_ACS18_5YR
Pleasanton,2018,Residence,Drive Alone,30.99,B08013_ACS18_5YR,B08301_ACS18_5YR
Portola Valley,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Redwood City,2018,Residence,Drive Alone,24.49,B08013_ACS18_5YR,B08301_ACS18_5YR
Richmond,2018,Residence,Drive Alone,30.5,B08013_ACS18_5YR,B08301_ACS18_5YR
Rio Vista,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Rohnert Park,2018,Residence,Drive Alone,25.8,B08013_ACS18_5YR,B08301_ACS18_5YR
Ross,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Anselmo,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Bruno,2018,Residence,Drive Alone,25.22,B08013_ACS18_5YR,B08301_ACS18_5YR
San Carlos,2018,Residence,Drive Alone,27.44,B08013_ACS18_5YR,B08301_ACS18_5YR
San Francisco,2018,Residence,Drive Alone,31.25,B08013_ACS18_5YR,B08301_ACS18_5YR
San Jose,2018,Residence,Drive Alone,28.74,B08013_ACS18_5YR,B08301_ACS18_5YR
San Leandro,2018,Residence,Drive Alone,29.65,B08013_ACS18_5YR,B08301_ACS18_5YR
San Mateo,2018,Residence,Drive Alone,25.24,B08013_ACS18_5YR,B08301_ACS18_5YR
San Pablo,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Rafael,2018,Residence,Drive Alone,26.28,B08013_ACS18_5YR,B08301_ACS18_5YR
San Ramon,2018,Residence,Drive Alone,33.85,B08013_ACS18_5YR,B08301_ACS18_5YR
Santa Clara,2018,Residence,Drive Alone,23.19,B08013_ACS18_5YR,B08301_ACS18_5YR
Santa Rosa,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Saratoga,2018,Residence,Drive Alone,28.79,B08013_ACS18_5YR,B08301_ACS18_5YR
Sausalito,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Sebastopol,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Sonoma,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
South San Francisco,2018,Residence,Drive Alone,25.44,B08013_ACS18_5YR,B08301_ACS18_5YR
St. Helena,2018,Residence,Drive Alone,18.95,B08013_ACS18_5YR,B08301_ACS18_5YR
Suisun City,2018,Residence,Drive Alone,32.28,B08013_ACS18_5YR,B08301_ACS18_5YR
Sunnyvale,2018,Residence,Drive Alone,22.36,B08013_ACS18_5YR,B08301_ACS18_5YR
Tiburon,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Union City,2018,Residence,Drive Alone,31.42,B08013_ACS18_5YR,B08301_ACS18_5YR
Vacaville,2018,Residence,Drive Alone,26.73,B08013_ACS18_5YR,B08301_ACS18_5YR
Vallejo,2018,Residence,Drive Alone,32.18,B08013_ACS18_5YR,B08301_ACS18_5YR
Walnut Creek,2018,Residence,Drive Alone,30.21,B08013_ACS18_5YR,B08301_ACS18_5YR
Windsor,2018,Residence,Drive Alone,23.51,B08013_ACS18_5YR,B08301_ACS18_5YR
Woodside,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Yountville,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Alameda,2018,Residence,Carpool,30.77,B08013_ACS18_5YR,B08301_ACS18_5YR
Albany,2018,Residence,Carpool,26.18,B08013_ACS18_5YR,B08301_ACS18_5YR
American Canyon,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Antioch,2018,Residence,Carpool,50.57,B08013_ACS18_5YR,B08301_ACS18_5YR
Atherton,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Belmont,2018,Residence,Carpool,31.18,B08013_ACS18_5YR,B08301_ACS18_5YR
Belvedere,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Benicia,2018,Residence,Carpool,45.78,B08013_ACS18_5YR,B08301_ACS18_5YR
Berkeley,2018,Residence,Carpool,32.11,B08013_ACS18_5YR,B08301_ACS18_5YR
Brentwood,2018,Residence,Carpool,40.06,B08013_ACS18_5YR,B08301_ACS18_5YR
Brisbane,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Burlingame,2018,Residence,Carpool,26.11,B08013_ACS18_5YR,B08301_ACS18_5YR
Calistoga,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Campbell,2018,Residence,Carpool,26.91,B08013_ACS18_5YR,B08301_ACS18_5YR
Clayton,2018,Residence,Carpool,51.34,B08013_ACS18_5YR,B08301_ACS18_5YR
Cloverdale,2018,Residence,Carpool,26.79,B08013_ACS18_5YR,B08301_ACS18_5YR
Colma,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Concord,2018,Residence,Carpool,33.5,B08013_ACS18_5YR,B08301_ACS18_5YR
Corte Madera,2018,Residence,Carpool,24.96,B08013_ACS18_5YR,B08301_ACS18_5YR
Cotati,2018,Residence,Carpool,24.76,B08013_ACS18_5YR,B08301_ACS18_5YR
Cupertino,2018,Residence,Carpool,29.12,B08013_ACS18_5YR,B08301_ACS18_5YR
Daly City,2018,Residence,Carpool,28.16,B08013_ACS18_5YR,B08301_ACS18_5YR
Danville,2018,Residence,Carpool,27.44,B08013_ACS18_5YR,B08301_ACS18_5YR
Dixon,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Dublin,2018,Residence,Carpool,44.45,B08013_ACS18_5YR,B08301_ACS18_5YR
East Palo Alto,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
El Cerrito,2018,Residence,Carpool,29.89,B08013_ACS18_5YR,B08301_ACS18_5YR
Emeryville,2018,Residence,Carpool,33.7,B08013_ACS18_5YR,B08301_ACS18_5YR
Fairfax,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Fairfield,2018,Residence,Carpool,39,B08013_ACS18_5YR,B08301_ACS18_5YR
Foster City,2018,Residence,Carpool,37.27,B08013_ACS18_5YR,B08301_ACS18_5YR
Fremont,2018,Residence,Carpool,33.02,B08013_ACS18_5YR,B08301_ACS18_5YR
Gilroy,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Half Moon Bay,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Hayward,2018,Residence,Carpool,33.24,B08013_ACS18_5YR,B08301_ACS18_5YR
Healdsburg,2018,Residence,Carpool,20.63,B08013_ACS18_5YR,B08301_ACS18_5YR
Hercules,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Hillsborough,2018,Residence,Carpool,33.92,B08013_ACS18_5YR,B08301_ACS18_5YR
Lafayette,2018,Residence,Carpool,30.99,B08013_ACS18_5YR,B08301_ACS18_5YR
Larkspur,2018,Residence,Carpool,34.25,B08013_ACS18_5YR,B08301_ACS18_5YR
Livermore,2018,Residence,Carpool,37.76,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Altos,2018,Residence,Carpool,27.76,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Altos Hills,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Gatos,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Martinez,2018,Residence,Carpool,36.45,B08013_ACS18_5YR,B08301_ACS18_5YR
Menlo Park,2018,Residence,Carpool,24.23,B08013_ACS18_5YR,B08301_ACS18_5YR
Mill Valley,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Millbrae,2018,Residence,Carpool,29.5,B08013_ACS18_5YR,B08301_ACS18_5YR
Milpitas,2018,Residence,Carpool,26.05,B08013_ACS18_5YR,B08301_ACS18_5YR
