Objectid,Year,County,City,Medprice,Medprice_Ia,Percentchngprice,Percentchngpriceia,Source
133,2001,Napa County,Calistoga,487000,794000,0.226700251889169,0.160818713450292,Zillow
134,2001,Napa County,Napa,326000,532000,0.220973782771536,0.159041394335512,Zillow
135,2001,Napa County,Yountville,732000,1193000,0.213930348258706,0.150433944069431,Zillow
136,2001,San Francisco County,San Francisco,584000,953000,0.204123711340206,0.141317365269461,Zillow
137,2001,San Mateo County,Atherton,3694000,6026000,0.257317903335603,0.193031082953871,Zillow
138,2001,San Mateo County,Belmont,746000,1216000,0.172955974842767,0.111517367458867,Zillow
139,2001,San Mateo County,Brisbane,492000,803000,0.123287671232877,0.066401062416999,Zillow
140,2001,San Mateo County,Burlingame,882000,1439000,0.163588390501319,0.104374520337682,Zillow
141,2001,San Mateo County,Colma,456000,744000,0.175257731958763,0.11377245508982,Zillow
142,2001,San Mateo County,Daly City,443000,723000,0.190860215053764,0.1296875,Zillow
143,2001,San Mateo County,East Palo Alto,442000,721000,0.241573033707865,0.178104575163399,Zillow
144,2001,San Mateo County,Foster City,652000,1063000,0.181159420289855,0.120126448893572,Zillow
145,2001,San Mateo County,Half Moon Bay,664000,1084000,0.192100538599641,0.130344108446298,Zillow
146,2001,San Mateo County,Hillsborough,2161000,3526000,0.233447488584475,0.17103952175357,Zillow
147,2001,San Mateo County,Menlo Park,869000,1418000,0.172739541160594,0.112156862745098,Zillow
148,2001,San Mateo County,Millbrae,720000,1175000,0.141045958795563,0.08294930875576,Zillow
149,2001,San Mateo County,Pacifica,492000,803000,0.171428571428571,0.112188365650969,Zillow
150,2001,San Mateo County,Portola Valley,2146000,3500000,0.226285714285714,0.163177135260884,Zillow
151,2001,San Mateo County,Redwood City,653000,1065000,0.17870036101083,0.117523609653725,Zillow
152,2001,San Mateo County,San Bruno,464000,757000,0.186700767263427,0.126488095238095,Zillow
153,2001,San Mateo County,San Carlos,757000,1235000,0.16820987654321,0.109613656783468,Zillow
154,2001,San Mateo County,San Mateo,602000,982000,0.187376725838264,0.126146788990826,Zillow
155,2001,San Mateo County,South San Francisco,460000,751000,0.185567010309278,0.125937031484258,Zillow
156,2001,San Mateo County,Woodside,1971000,3215000,0.258620689655172,0.19472315124489,Zillow
887,2009,Napa County,Napa,426000,588000,0.595505617977528,0.281045751633987,Zillow
157,2001,Santa Clara County,Campbell,574000,937000,0.231759656652361,0.168329177057356,Zillow
158,2001,Santa Clara County,Cupertino,911000,1486000,0.227762803234501,0.165490196078431,Zillow
159,2001,Santa Clara County,Gilroy,491000,802000,0.221393034825871,0.158959537572254,Zillow
160,2001,Santa Clara County,Los Altos,1524000,2486000,0.27212020033389,0.206796116504854,Zillow
161,2001,Santa Clara County,Los Altos Hills,2439000,3978000,0.220110055027514,0.15740471341286,Zillow
162,2001,Santa Clara County,Los Gatos,998000,1627000,0.196642685851319,0.134588563458856,Zillow
163,2001,Santa Clara County,Milpitas,494000,806000,0.213759213759214,0.15307582260372,Zillow
164,2001,Santa Clara County,Monte Sereno,1911000,3117000,0.261386138613861,0.197004608294931,Zillow
165,2001,Santa Clara County,Morgan Hill,588000,959000,0.227557411273486,0.165249088699879,Zillow
166,2001,Santa Clara County,Mountain View,667000,1088000,0.199640287769784,0.138075313807531,Zillow
167,2001,Santa Clara County,Palo Alto,1273000,2076000,0.191947565543071,0.130718954248366,Zillow
